,Stock,CurrentPrice,PriceBeforeConsolidation,PriceDiff,Breakout_Reversal
19,ANET,528.32,409.69,22.082540890072263,breakout
108,GRMN,144.83,165.15,16.155577437051623,reversal
170,NOC,353.96,406.21,14.761554977963613,reversal
159,MOS,36.39,41.57,14.234679857103599,reversal
94,FMC,104.98,91.01,13.307296627929126,breakout
68,DD,79.29,69.6,12.220961029133575,breakout
172,NRG,36.44,39.89,11.736694677871142,reversal
14,AMAT,155.98,136.65,10.85524169874094,breakout
76,DXCM,651.26,566.57,10.840965599723033,breakout
144,LMT,341.99,374.6,10.481920604022893,reversal
32,BEN,35.0,31.49,10.028571428571432,breakout
133,KLAC,419.84,372.76,9.804490902051874,breakout
92,FISV,100.88,110.18,9.784774810681554,reversal
251,ZBRA,605.83,533.95,9.781359826980262,breakout
153,MHK,175.03,192.12,9.764040450208537,reversal
64,CTVA,48.35,43.15,9.348739495798325,breakout
13,ALGN,692.32,624.37,9.141576565433148,breakout
193,PVH,122.64,109.33,9.103757898237449,breakout
205,ROL,35.96,39.09,9.007250418293374,reversal
184,PH,329.32,296.59,8.951650038372993,breakout
158,MO,44.42,48.22,8.554705087798283,reversal
120,IP,48.93,53.03,8.512379783098023,reversal
119,INTC,50.23,54.46,8.421262193908031,reversal
127,JKHY,153.8,166.48,8.244473342002587,reversal
12,ALB,273.39,250.47,8.087776595354295,breakout
163,MSFT,339.12,309.16,8.004523001844902,breakout
82,EQIX,798.0,837.07,7.954706663743415,reversal
160,MRK,82.6,88.05,7.891189805170932,reversal
196,QRVO,157.94,168.23,7.791375664765808,reversal
175,NXPI,217.81,200.86,7.782011845186167,breakout
169,NLOK,24.95,26.67,7.670569236980226,reversal
98,FTNT,341.35,315.29,7.59107828482663,breakout
89,EXPE,177.59,164.41,7.421589053437697,breakout
30,BBWI,74.6,69.09,7.386058981233232,breakout
9,AES,24.75,22.9,7.362459546925567,breakout
88,EXPD,128.02,116.06,7.278101781577055,breakout
4,ADBE,670.67,610.09,7.224756690997565,breakout
128,JNJ,163.28,175.04,7.202351788339044,reversal
140,LEG,43.73,46.85,7.134690144065869,reversal
106,GOOGL,2960.94,2751.33,7.079170803866345,breakout
135,KMI,16.51,17.67,7.026044821320412,reversal
157,MNST,91.4,85.0,7.002188183807445,breakout
105,GOOG,2981.24,2772.5,7.001784492358877,breakout
156,MMM,183.34,194.39,6.92519251925191,reversal
104,GLW,38.2,35.57,6.8848167539267076,breakout
139,LDOS,93.76,99.98,6.850486266965921,reversal
231,UPS,207.85,193.75,6.783738272792878,breakout
154,MKTX,382.83,408.67,6.749732257137642,reversal
190,PPG,164.3,150.74,6.743380351398155,breakout
1,ABBV,117.35,109.14,6.69402410874583,breakout
186,PLD,150.38,136.98,6.619401458858823,breakout
227,UHS,127.26,135.62,6.569228351406569,reversal
122,IPGP,170.9,159.01,6.5087017873941795,breakout
121,IPG,35.89,38.22,6.492059069378653,reversal
81,EL,354.46,324.33,6.4576603599446365,breakout
20,ARE,207.27,192.44,6.378010216492344,breakout
199,RF,24.03,22.43,6.346555323590812,breakout
27,BA,226.62,207.03,6.3043084721216545,breakout
41,CCI,184.7,168.85,6.26214400710598,breakout
228,ULTA,402.21,367.36,6.249840500191402,breakout
149,MCK,223.82,207.88,6.229419459605757,breakout
174,NUE,109.11,102.33,6.213912565301073,breakout
137,KSU,304.24,285.47,6.169471469892184,breakout
143,LLY,261.18,243.75,6.123627960716341,breakout
125,IT,335.02,311.28,6.0882157726422514,breakout
117,IDXX,627.99,666.14,6.074937499004758,reversal
173,NTRS,122.9,115.45,6.061838893409278,breakout
46,CHTR,691.04,730.93,6.0363836824696655,reversal
217,TECH,493.92,523.65,6.0191933916423634,reversal
53,CMS,60.94,63.61,6.016666666666666,reversal
213,SWKS,162.97,172.65,5.939743511075663,reversal
24,AVY,222.92,209.75,5.9079490400143495,breakout
35,BR,174.65,184.07,5.90299752603417,reversal
26,AXP,179.61,187.08,5.880355424755229,reversal
5,ADI,187.04,173.49,5.804104680204147,breakout
58,CPRT,157.17,144.99,5.801715176715163,breakout
232,USB,59.32,62.74,5.765340525960893,reversal
131,K,62.96,66.16,5.754475703324799,reversal
230,UNP,239.75,225.16,5.723736549009762,breakout
6,ADM,65.66,60.8,5.721817336021085,breakout
198,REG,74.69,70.41,5.679839249832563,breakout
132,KEY,23.71,22.34,5.658783783783783,breakout
129,JNPR,32.12,29.52,5.656759348034514,breakout
80,EIX,64.46,60.45,5.620608899297416,breakout
16,AME,141.33,132.4,5.60387851133608,breakout
162,MSCI,666.42,616.08,5.591737284888978,breakout
248,XRAY,54.19,57.21,5.572983945377382,reversal
96,FOXA,40.29,42.52,5.534872176718799,reversal
63,CTSH,80.99,75.49,5.531222625453638,breakout
147,MAA,204.29,191.18,5.520138374104269,breakout
103,GL,94.2,89.02,5.498938428874742,breakout
242,WLTW,229.7,242.28,5.476708750544193,reversal
39,CB,191.78,181.31,5.459380540202314,breakout
10,AFL,56.92,53.67,5.427312775330393,breakout
215,TAP,47.72,44.09,5.406565114782227,breakout
222,TSCO,226.33,208.21,5.380595319245627,breakout
29,BAX,79.58,82.19,5.317785750896965,reversal
95,FOX,37.54,39.52,5.274374001065541,reversal
109,HBAN,16.31,16.68,5.23659305993691,reversal
75,DVN,42.29,40.08,5.225821707259402,breakout
161,MS,97.68,102.78,5.221130221130215,reversal
49,CMA,89.11,83.0,5.197030268418044,breakout
220,TRMB,88.65,81.93,5.151655475804572,breakout
62,CTAS,444.55,416.03,5.14375612759069,breakout
118,IEX,236.16,222.57,5.09146731482666,breakout
145,LNC,72.08,75.72,5.049944506104329,reversal
90,FB,340.77,323.57,5.0473926695425035,breakout
100,GD,199.46,209.52,5.0436177679735295,reversal
178,ORCL,95.33,98.25,5.035279025016029,reversal
224,TXN,189.57,199.07,5.01134145698159,reversal
237,VZ,51.73,54.3,4.968103614923643,reversal
240,WELL,86.22,80.4,4.964539007092186,breakout
7,ADSK,330.55,308.58,4.911869838530753,breakout
207,SBAC,350.29,326.9,4.907350845041745,breakout
202,RL,125.7,118.79,4.899527659915131,breakout
148,MCD,252.69,238.44,4.878924482387199,breakout
23,AVGO,569.64,531.67,4.875474128676735,breakout
38,CAG,31.81,33.34,4.809808236403661,reversal
181,PCAR,88.99,84.76,4.753343072255299,breakout
243,WMB,28.21,29.55,4.750088621056362,reversal
155,MLM,423.56,392.84,4.724485836243699,breakout
208,SCHW,81.42,77.34,4.69500924214418,breakout
60,CSCO,56.76,59.42,4.686398872445391,reversal
28,BAC,46.51,44.34,4.665663298215426,breakout
8,AEE,85.49,80.61,4.659964518036662,breakout
229,UNH,448.95,428.07,4.650851987971934,breakout
141,LHX,221.19,230.54,4.648206990467535,reversal
44,CHD,91.49,84.68,4.618157242622205,breakout
59,CRM,308.02,292.56,4.594814935594318,breakout
212,SPGI,465.5,474.16,4.587965413799191,reversal
77,EBAY,73.38,76.72,4.5516489506677615,reversal
